Index,Gross,Term,L,S,J,I,F,m_F
0,5s5p,1P1,1,0,1,4.5,3.5,3.5
1,5s5p,1P1,1,0,1,4.5,3.5,2.5
2,5s5p,1P1,1,0,1,4.5,3.5,1.5
3,5s5p,1P1,1,0,1,4.5,3.5,0.5
4,5s5p,1P1,1,0,1,4.5,3.5,-0.5
5,5s5p,1P1,1,0,1,4.5,3.5,-1.5
6,5s5p,1P1,1,0,1,4.5,3.5,-2.5
7,5s5p,1P1,1,0,1,4.5,3.5,-3.5
8,5s5p,1P1,1,0,1,4.5,5.5,5.5
9,5s5p,1P1,1,0,1,4.5,5.5,4.5
10,5s5p,1P1,1,0,1,4.5,5.5,3.5
11,5s5p,1P1,1,0,1,4.5,5.5,2.5
12,5s5p,1P1,1,0,1,4.5,5.5,1.5
13,5s5p,1P1,1,0,1,4.5,5.5,0.5
14,5s5p,1P1,1,0,1,4.5,5.5,-0.5
15,5s5p,1P1,1,0,1,4.5,5.5,-1.5
16,5s5p,1P1,1,0,1,4.5,5.5,-2.5
17,5s5p,1P1,1,0,1,4.5,5.5,-3.5
18,5s5p,1P1,1,0,1,4.5,5.5,-4.5
19,5s5p,1P1,1,0,1,4.5,5.5,-5.5
20,5s5p,1P1,1,0,1,4.5,4.5,4.5
21,5s5p,1P1,1,0,1,4.5,4.5,3.5
22,5s5p,1P1,1,0,1,4.5,4.5,2.5
23,5s5p,1P1,1,0,1,4.5,4.5,1.5
24,5s5p,1P1,1,0,1,4.5,4.5,0.5
25,5s5p,1P1,1,0,1,4.5,4.5,-0.5
26,5s5p,1P1,1,0,1,4.5,4.5,-1.5
27,5s5p,1P1,1,0,1,4.5,4.5,-2.5
28,5s5p,1P1,1,0,1,4.5,4.5,-3.5
29,5s5p,1P1,1,0,1,4.5,4.5,-4.5
30,5s5s,1S0,0,0,0,4.5,4.5,4.5
31,5s5s,1S0,0,0,0,4.5,4.5,3.5
32,5s5s,1S0,0,0,0,4.5,4.5,2.5
33,5s5s,1S0,0,0,0,4.5,4.5,1.5
34,5s5s,1S0,0,0,0,4.5,4.5,0.5
35,5s5s,1S0,0,0,0,4.5,4.5,-0.5
36,5s5s,1S0,0,0,0,4.5,4.5,-1.5
37,5s5s,1S0,0,0,0,4.5,4.5,-2.5
38,5s5s,1S0,0,0,0,4.5,4.5,-3.5
39,5s5s,1S0,0,0,0,4.5,4.5,-4.5
