Series	n	Level_label	Term	Laser_wavelength	Our_experiment	Esherick_experiment	Dai_experiment	New
5snd	25	5s25d	3D2	437.509	45713.34	45713.51	45713.48	TRUE
5snd	25	5s25d	1D2	437.452	45719.3	45719.25	45719.16	TRUE
5snd	26	5s26d	3D2	437.337	45731.32	45731.8	45731.76	TRUE
5snd	26	5s26d	1D2	437.286	45736.65	45736.8	45736.83	TRUE
5snd	27	5s27d	3D2	437.182	45747.53	45747.81	45747.71	TRUE
5snd	27	5s27d	1D2	437.139	45752.03	45752.22	45752.24	TRUE
5snd	28	5s28d	3D2	437.056	45760.33			TRUE
5snd	28	5s28d	1D2	437.008	45765.75	45765.79	45765.77	TRUE
5snd	29	5s29d	3D2	436.928	45774.13	45774.58	45774.56	TRUE
5snd	29	5s29d	1D2	436.892	45777.9	45777.97	45778.02	TRUE
5snd	30	5s30d	3D2	436.82	45785.44	45785.87	45785.81	TRUE
5snd	30	5s30d	1D2	436.787	45788.9	45788.9	45788.92	TRUE
5snd	31	5s31d	3D2	436.724	45795.51	45795.91	45795.94	TRUE
5snd	31	5s31d	1D2	436.693	45798.76	45798.65	45798.69	TRUE
5snd	32	5s32d	3D2	436.636	45804.74	45805.02	45804.97	TRUE
5snd	32	5s32d	1D2	436.609	45807.57	45807.46	45807.43	TRUE
5snd	33	5s33d	3D2	436.558	45812.92	45813.15	45813.16	TRUE
5snd	33	5s33d	1D2	436.532	45815.65	45815.6	45815.53	TRUE
5snd	34	5s34d	3D2	436.486	45820.49	45820.69	45820.71	TRUE
5snd	34	5s34d	1D2	436.463	45822.89	45822.71	45822.51	TRUE
5snd	35	5s35d	3D2	436.421	45827.3	45827.55	45827.53	TRUE
5snd	35	5s35d	1D2	436.402	45829.3	45829.32	45829.34	TRUE
5snd	36	5s36d	3D2	436.363	45833.4	45833.54	45833.56	TRUE
5snd	36	5s36d	1D2	436.345	45835.29	45835.3	45835.36	TRUE
5snd	37	5s37d	3D2	436.311	45838.9	45839.32	45839.34	TRUE
5snd	37	5s37d	1D2	436.294	45840.64	45840.85	45840.43	TRUE
5snd	38	5s38d	3D2	436.263	45843.9			TRUE
5snd	38	5s38d	1D2	436.246	45845.69	45845.85	45845.73	TRUE
5snd	39	5s39d	3D2	436.216	45848.84			TRUE
5snd	39	5s39d	1D2	436.201	45850.42	45850.53	45850.54	TRUE
5snd	40	5s40d	3D2	436.174	45853.26			TRUE
5snd	40	5s40d	1D2	436.161	45854.12	45854.77	45854.81	TRUE
5snd	41	5s41d	3D2	436.135	45857.36			TRUE
5snd	41	5s41d	1D2	436.122	45858.72	45858.72	45858.76	TRUE
5snd	42	5s42d	3D2	436.1	45861.04			TRUE
5snd	42	5s42d	1D2	436.087	45862.4	45862.44	45862.41	TRUE
5snd	43	5s43d	3D2	436.066	45864.61			TRUE
5snd	43	5s43d	1D2	436.056	45865.66	45865.76	45865.81	TRUE
5snd	44	5s44d	3D2	436.037	45867.66			TRUE
5snd	44	5s44d	1D2	436.026	45868.82	45869.01	45868.99	TRUE
5snd	45	5s45d	3D2	436.007	45870.82			TRUE
5snd	45	5s45d	1D2	436	45871.55	45871.84	45871.94	TRUE
5snd	46	5s46d	3D2	435.98	45873.66			TRUE
5snd	46	5s46d	1D2	435.97	45874.71	45874.57	45874.61	TRUE
5snd	47	5s47d	3D2	435.956	45876.18			TRUE
5snd	47	5s47d	1D2	435.947	45877.13	45877.12	45877.16	TRUE
5snd	48	5s48d	1D2	435.924	45879.55	45879.5	45879.56	TRUE
5snd	49	5s49d	1D2	435.903	45881.76	45881.76	45881.82	TRUE
5snd	50	5s50d	1D2	435.884	45883.76	45883.83	45883.86	TRUE
5snd	51	5s51d	1D2	435.866	45885.66	45885.75	45883.8	TRUE
5snd	52	5s52d	1D2	435.848	45887.55	45887.61	45885.61	TRUE
5snd	53	5s53d	1D2	435.833	45889.13	45889.38	45889.38	TRUE
5snd	54	5s54d	1D2	435.816	45890.92	45891.03	45891.03	TRUE
5snd	55	5s55d	1D2	435.801	45892.5	45892.59	45892.59	TRUE
5snd	56	5s56d	1D2	435.788	45893.87	45894.04	45894.04	TRUE
5snd	57	5s57d	1D2	435.774	45895.34	45894.39	45895.39	TRUE
5snd	58	5s58d	1D2	435.762	45896.61	45896.74	45895.74	TRUE
5snd	59	5s59d	1D2	435.75	45897.87	45898.01	45898.01	TRUE
5snd	60	5s60d	1D2	435.74	45898.93	45899.2	45899.2	TRUE
5snd	61	5s61d	1D2	435.729	45900.08		45900.27	TRUE
5snd	62	5s62d	1D2	435.719	45901.14		45901.33	TRUE
5snd	63	5s63d	1D2	435.71	45902.09		45902.34	TRUE
5snd	64	5s64d	1D2	435.701	45903.04		45903.3	TRUE
5snd	65	5s65d	1D2	435.692	45903.98		45904.22	TRUE
5snd	66	5s66d	1D2	435.684	45904.83		45905.09	TRUE
5snd	67	5s67d	1D2	435.675	45905.77		45905.92	TRUE
5snd	68	5s68d	1D2	435.668	45906.52		45906.72	TRUE
5snd	69	5s69d	1D2	435.662	45907.15		45907.48	TRUE
5snd	70	5s70d	1D2	435.656	45907.78		45908.19	TRUE
5snd	71	5s71d	1D2	435.649	45908.51			TRUE
5snd	72	5s72d	1D2	435.641	45909.36			TRUE
5snd	73	5s73d	1D2	435.635	45909.99			TRUE
