n,Series,E_exp,E_exp_unc
12,3D1,1344688300,10
12,3D2,1344870880,10
13,3D1,1349925421,10
13,3D2,1350174107,10
14,1D2,1353661576,10
14,3D1,1353850897,10
14,3D2,1354207372,10
15,3D1,1356887051,10
15,1D2,1356969526,10
15,3D2,1357360134,10
16,3D1,1359296415,10
16,3D2,1359574504,10
16,1D2,1359922783,10
17,3D1,1361493566,10
17,3D2,1361682770,10
18,3D1,1363313169,10
18,3D2,1363452486,10
19,3D1,1364863538,10
19,3D2,1364960612,10
20,3D1,1366181658,10
20,3D2,1366249880,10
21,3D1,1367305009,10
21,3D2,1367354291,10
22,3D1,1368266930,10
22,3D2,1368303621,10
23,3D1,1369095323,10
23,3D2,1369123407,10
24,3D1,1369812958,10
24,3D2,1369834979,10
25,3D1,1370438257,10
25,3D2,1370455884,10
26,3D1,1370986135,10
26,3D2,1371000499,10
27,3D1,1371468700,10
27,3D2,1371480583,10
28,3D1,1371895834,10
28,3D2,1371905792,10
29,3D1,1372275642,10
29,3D2,1372284085,10
30,3D1,1372614826,10
30,3D2,1372622055,10
31,3D1,1372918946,10
31,3D2,1372925192,10
32,3D1,1373192657,10
32,3D2,1373198097,10
33,3D1,1373439862,10
33,3D2,1373444629,10
34,3D1,1373663874,10
34,3D2,1373668084,10
35,3D1,1373867493,10
35,3D2,1373871228,10
36,3D1,1374053114,10
36,3D2,1374056446,10
37,3D1,1374222798,10
37,3D2,1374225784,10
38,3D1,1374378312,10
38,3D2,1374381002,10
39,3D1,1374521191,10
39,3D2,1374523622,10
40,3D1,1374652762,10
40,3D2,1374654968,10
41,3D1,1374774191,10
41,3D2,1374776201,10
42,3D1,1374886489,10
42,3D2,1374888324,10
43,3D1,1374990551,10
43,3D2,1374992230,10
44,3D1,1375087158,10
44,3D2,1375088706,10
45,3D1,1375177012,10
45,3D2,1375178436,10
46,3D1,1375260722,10
46,3D2,1375262039,10
47,3D1,1375338834,10
47,3D2,1375340055,10
48,3D1,1375411845,10
48,3D2,1375412978,10
49,3D1,1375480182,10
49,3D2,1375481234,10
50,3D1,1375544238,10
50,3D2,1375545219,10
