imagevcoAtom,wavemeterAtom,winTotNum,atomTempX,atomTempY
5.5,20776.146,4587777.85122131,7.23607577910855e-06,2.40286506294718e-06
5.505,20776.147,4420179.96345812,7.18987630649696e-06,2.15040773974643e-06
5.51,20776.149,4285341.26036336,7.13194789371954e-06,2.37389085402241e-06
5.515,20776.15,4192142.04978325,7.63340990936522e-06,2.44529562479942e-06
5.52,20776.148,4158953.63335771,7.59554225977182e-06,2.27051464380849e-06
5.525,20776.152,3984864.25116852,7.28607478649046e-06,2.33267748219823e-06
5.53,20776.148,4201214.41420936,7.67137171915339e-06,2.40076825680889e-06
5.535,20776.152,3185772.30399186,7.07990979791445e-06,2.25017353877106e-06
5.54,20776.152,2854704.66676638,7.01269868611118e-06,2.09129863545723e-06
5.545,20776.155,2671040.45528724,6.88329426133818e-06,2.11821772948647e-06
5.55,20776.155,2718227.29097379,7.34252943625127e-06,2.36645175968273e-06
5.555,20776.156,2625694.17016588,7.22360292483904e-06,2.55407771543514e-06
5.56,20776.157,1783635.07487231,7.25897062219546e-06,2.17114813369545e-06
5.565,20776.161,1324053.20307269,6.67845406243354e-06,2.1617600111149e-06
5.57,20776.16,982467.582322739,6.47228175173962e-06,2.1227209814275e-06
5.575,20776.161,709169.029001212,6.96211821477711e-06,2.13174183068341e-06
5.58,20776.16,546770.05986337,7.18003266226006e-06,2.40796111691579e-06
5.585,20776.166,503941.34547945,7.8918866485635e-06,3.30022800700391e-06
5.59,20776.161,424031.019208108,6.28580705893584e-06,2.21580371346476e-06
5.595,20776.166,332681.754515106,7.18469460055987e-06,1.92507678068029e-06
5.6,20776.165,290103.287458409,8.22380567793671e-06,2.85268900017537e-06
5.605,20776.168,275103.030577263,6.96772922657342e-06,2.72966702462055e-06
5.61,20776.17,259756.824646589,6.7019508041588e-06,2.84257800524066e-06
5.615,20776.172,208040.541046008,8.49144714040403e-06,2.248434274265e-06
