Series,n,Term,F,E_expt,E_expt_unc,DeltaE_Expt,DeltaE_Expt_unc,E_theor,DeltaE_theor,New
5snd,50,3D1,3.50,45883.1440,0.0022,-295.6,0.07,45883.1414,-299.01,TRUE
5snd,50,3D1,4.50,45883.1538,0.0022,0,0,45883.1514,0,TRUE
5snd,50,3D2,5.50,45883.1685,0.0022,439.39,0.07,45883.1662,443.71,TRUE
5snd,50,3D2,3.50,45883.2882,0.0021,0,0,45883.2855,0,TRUE
5snd,50,3D2,4.50,45883.2922,0.0021,118.91,0.07,45883.2893,114.7,TRUE
5snd,50,3D1,5.50,45883.2972,0.0021,269.12,0.07,45883.2942,260.55,TRUE
5snd,50,3D3,5.50,45883.3849,0.0022,-890.64,0.07,45883.3814,-890.22,TRUE
5snd,50,3D3,4.50,45883.4146,0.0022,0,0,45883.4111,0,TRUE
5snd,50,3D3,3.50,45883.4374,0.0022,0,0,45883.4339,0,TRUE
5snd,60,3D1,3.50,45898.7367,0.0021,-183.64,0.07,45898.7347,-178.89,TRUE
5snd,60,3D1,4.50,45898.7428,0.0021,0,0,45898.7407,0,TRUE
5snd,60,3D2,5.50,45898.7521,0.0021,277.34,0.07,45898.7497,270.37,TRUE
5snd,60,3D2,3.50,45898.8568,0.0022,-79.4,0.07,45898.8544,-72.67,TRUE
5snd,60,3D2,4.50,45898.8594,0.0022,0,0,45898.8569,0,TRUE
5snd,60,3D3,5.50,45898.8618,0.0022,71.37,0.07,45898.8588,58.8,TRUE
5snd,60,3D1,5.50,45898.9223,0.0022,-626.4,0.07,45898.9197,-609.77,TRUE
5snd,60,3D3,4.50,45898.9432,0.0022,0,0,45898.9400,0,TRUE
5snd,60,3D3,3.50,45898.9608,0.0022,526.18,0.07,45898.9573,517.37,TRUE
5sns,98,3S1,5.50,45919.8662,0.0022,0,0,45919.8646,0,FALSE
5sns,98,3S1,4.50,45919.8816,0.0022,463.02,0.07,45919.8800,461.64,FALSE
5snd,97,3D1,5.50,45919.9565,0.0022,2707.6,3.5,45919.9552,2716.6,TRUE
5snd,97,3D2,4.50,45919.9593,0.0022,2792.4,3.5,45919.9579,2796.2,TRUE
5snd,97,1D2,4.50,45919.9896,0.0022,3701,4,45919.9879,3697,TRUE
5snd,97,1D2,5.50,45919.9925,0.0022,3785,4,45919.9909,3786,TRUE
5snd,97,1D2,6.50,45919.9946,0.0022,3850,4,45919.9933,3857,TRUE
5sns,98,1S0,4.50,45920.0438,0.0022,5325,5,45920.0423,5327,FALSE
5snd,98,3D1,4.50,45920.0474,0.0022,5432,5,45920.0460,5439,TRUE
5snd,98,3D2,5.50,45920.0501,0.0022,5512,5,45920.0485,5514,TRUE
5snd,98,3D2,6.50,45920.0544,0.0022,5641,5,45920.0526,5636,TRUE
5snd,98,3D3,6.50,45920.0916,0.0022,6756,6,45920.0901,6761,TRUE
5snd,98,3D3,5.50,45920.0956,0.0022,6877,6,45920.0943,6886,TRUE
5snd,98,3D3,4.50,45920.0982,0.0022,6954,6,45920.0971,6970,TRUE
5sns,99,3S1,5.50,45920.1210,0.0022,7639,6,45920.1196,7643,FALSE
