Series,n,Term,F,E_expt,E_expt_unc,DeltaE_expt,DeltaE_expt_unc,E_theor,DeltaE_theor
5sns,98,3S1,5.50,45919.8662,0.0022,0,0,45919.8646,0
5sns,98,3S1,4.50,45919.8816,0.0022,463.02,0.07,45919.88,461.64
5snd,97,3D1,5.50,45919.9565,0.0022,2707.6,3.5,45919.9552,2716.6
5snd,97,3D2,4.50,45919.9593,0.0022,2792.4,3.5,45919.9579,2796.2
5snd,97,1D2,4.50,45919.9896,0.0022,3701,4,45919.9879,3697
5snd,97,1D2,5.50,45919.9925,0.0022,3785,4,45919.9909,3786
5snd,97,1D2,6.50,45919.9946,0.0022,3850,4,45919.9933,3857
5sns,98,1S0,4.50,45920.0438,0.0022,5325,5,45920.0423,5327
5snd,98,3D1,4.50,45920.0474,0.0022,5432,5,45920.046,5439
5snd,98,3D2,5.50,45920.0501,0.0022,5512,5,45920.0485,5514
5snd,98,3D2,6.50,45920.0544,0.0022,5641,5,45920.0526,5636
5snd,98,3D3,6.50,45920.0916,0.0022,6756,6,45920.0901,6761
5snd,98,3D3,5.50,45920.0956,0.0022,6877,6,45920.0943,6886
5snd,98,3D3,4.50,45920.0982,0.0022,6954,6,45920.0971,6970
5sns,99,3S1,5.50,45920.121,0.0022,7639,6,45920.1196,7643
