transition,x_init,x_final,y_init,y_final,type,color,linewidth,wavelength,tau,Gamma,label_offset_x,label_offset_y
1s0-3p1,1,4.85,0,14504.351,solid,red,2,689.45nm   ,$\tau$:21us,$\gamma$:7.5kHz,0.25,0
1s0-1p1,1,2,0,21698.482,solid,blue,2.2,460.862nm,$\tau$:5ns,$\gamma$:32MHz,0.1,0
1p1-1d2,2,3,21698.482,20149.7,dashed,red,0.6,6.5um,$\tau$:25ms,$\gamma$:620Hz,-0.2,-2500
1d2-3p2,3,4.85,20149.7,16898.56,dashed,red,0.6,1.8um,$\tau$:15ms,$\gamma$:105Hz,-0.25,3500
1d2-3p1,3,4.85,20149.7,14504.351,dashed,red,0.6,1.8um,$\tau$:74ms,$\gamma$:213Hz,-0.25,-1300
6s1s0-6p1p1,1,2,30591.8,34098.44,solid,red,0.6,None,None,None,0,0
1s0-6p1p1,1,2,0,34098.44,solid,red,0.6,293nm,$\tau$:0.55us,$\gamma$:0.28MHz,-0.8,-2000
5p1p1-6s1s0,1,2,30591.8,21698.482,solid,brown,0.6,1.12um,$\tau$:89ns,$\gamma$:1.8MHz,-0.5,0
6s1s0-continuum,1,2,30591.8,45932.2,solid,red,1,651.875nm,None,None,0,0
5p1p1-1s0continuum,0.75,2.6,45932.2,21698.482,solid,darkblue,1,412.648nm,None,None,-1.1,5000
5p1p1-1d2contiuum,2.1,3.25,21698.482,45932.2,solid,darkblue,1,412.648nm,None,None,0.2,5000
6p1p1-4d1d2,2,3,34098.44,20149.7,solid,red,0.6,717nm,$\tau$:62ns,$\gamma$:25MHz,0.1,1000
6p1p1-4d3dj,2,6,34098.44,18318.795,solid,red,0.6,None,None,None,0,0
6p1p1-4d3dj,2,6,34098.44,16159.056,solid,red,0.6,None,None,None,0,0
3p1-6s3s1,4.05,4.95,29038.795,14304.351,solid,red,0.6,None,None,None,0,0
3p1-6s3s1,4.1,5,29038.795,16898.56,solid,red,0.6,None,None,None,0,0
3p1-6s3s1,4,4.9,29038.795,12317.52,solid,red,0.6,None,None,None,0,0
6s1p1-6s3s1,2,4,34098.44,29038.795,solid,red,0.6,None,None,None,0,0
3p1-5p23p2j1,5,6.5,14304.351,35674.637,dashed,green,0.6,481nm(repump),$\tau$:13.2ns,$\gamma$:12MHz,0.1,2000
3p1-5p23p2j2,5,6.45,16898.56,35674.637,solid,green,0.6,None,None,None,0,0
3p1-contnuum,4,4.95,45932.2,14304.351,solid,darkblue,1,318nm,None,None,0.1,0
